"Catalog Price Info","Infomrações no catálogo de preço"
"Configuration","Configuração"
"Enable","Ativado"
"Cash Discount","Disconto no dinheiro"
"Quantity Of Parcels Without Interest","Quantidade de parcelas sem juros"
"Discount by percentage","Disconto por porcentagem"
"Use only numbers","Usar apenas números"
"Table with information on installments and interest","Tabela com informações de parcelas e juros"
"Add new option","Adiciona nova opção"
"Parcel","Parcela"
"Parcels","Parcelas"
"Interest","Imposto"
"Interest by Percent","Imposto por porcentagem"
"No Interest","Sem Juros"
"Parcel Value Minimun","Valor minímo da parcela"
'Use only numbers - Use (.) separator','usar somente números - Use (.) como separador'